period_start,month,row_type,department,salesperson,kpi_target,actual_revenue,actual_deals,actual_customers,kpi_completion,gap_to_target
2026-01-01,1,department_total,BU 1,,2200000000.0,1532119513.0,7,7,0.6964179604545454,-667880487.0
2026-01-01,1,department_total,BU 2,,1200000000.0,20833333.0,1,1,0.017361110833333332,-1179166667.0
2026-01-01,1,department_total,BU 3,,2000000000.0,472828677.0,3,3,0.2364143385,-1527171323.0
2026-01-01,1,department_total,BU HCM,,2000000000.0,1170184264.0,5,5,0.585092132,-829815736.0
2026-01-01,1,department_total,TMĐT,,20000000.0,0.0,0,0,0.0,-20000000.0
2026-01-01,1,employee,BU 1,Consultant 01,300000000.0,0.0,0,0,0.0,-300000000.0
2026-01-01,1,employee,BU 1,Consultant 05,350000000.0,10694444.0,1,1,0.030555554285714284,-339305556.0
2026-01-01,1,employee,BU 1,Consultant 08,300000000.0,217185185.0,1,1,0.7239506166666667,-82814815.0
2026-01-01,1,employee,BU 1,Consultant 19,350000000.0,444545607.0,1,1,1.2701303057142856,94545607.0
2026-01-01,1,employee,BU 1,Consultant 21,300000000.0,193875296.0,2,2,0.6462509866666667,-106124704.0
2026-01-01,1,employee,BU 1,Consultant 22,300000000.0,337115981.0,1,1,1.1237199366666666,37115981.0
2026-01-01,1,employee,BU 1,Consultant 26,300000000.0,328703000.0,1,1,1.0956766666666666,28703000.0
2026-01-01,1,employee,BU 2,Consultant 06,400000000.0,20833333.0,1,1,0.0520833325,-379166667.0
2026-01-01,1,employee,BU 2,Consultant 15,500000000.0,0.0,0,0,0.0,-500000000.0
2026-01-01,1,employee,BU 3,Consultant 02,600000000.0,247015714.0,1,1,0.41169285666666666,-352984286.0
2026-01-01,1,employee,BU 3,Consultant 13,100000000.0,44979630.0,1,1,0.4497963,-55020370.0
2026-01-01,1,employee,BU 3,Consultant 20,800000000.0,0.0,0,0,0.0,-800000000.0
2026-01-01,1,employee,BU 3,Consultant 24,500000000.0,180833333.0,1,1,0.361666666,-319166667.0
2026-01-01,1,employee,BU HCM,Consultant 07,500000000.0,410266174.0,2,2,0.820532348,-89733826.0
2026-01-01,1,employee,BU HCM,Consultant 10,1500000000.0,759918090.0,3,3,0.50661206,-740081910.0
2026-01-01,1,employee,TMĐT,Consultant 09,20000000.0,0.0,0,0,0.0,-20000000.0
2026-02-01,2,department_total,BU 1,,2200000000.0,614144446.0,7,7,0.27915656636363634,-1585855554.0
2026-02-01,2,department_total,BU 2,,1400000000.0,130451381.0,2,2,0.09317955785714285,-1269548619.0
2026-02-01,2,department_total,BU 3,,1600000000.0,1620370371.0,3,3,1.012731481875,20370371.0
2026-02-01,2,department_total,BU HCM,,1500000000.0,75062067.0,2,2,0.050041378,-1424937933.0
2026-02-01,2,department_total,TMĐT,,40000000.0,0.0,0,0,0.0,-40000000.0
2026-02-01,2,employee,BU 1,Consultant 01,300000000.0,109662037.0,1,1,0.36554012333333336,-190337963.0
2026-02-01,2,employee,BU 1,Consultant 05,350000000.0,31018519.0,1,1,0.08862434,-318981481.0
2026-02-01,2,employee,BU 1,Consultant 08,300000000.0,76944445.0,1,1,0.2564814833333333,-223055555.0
2026-02-01,2,employee,BU 1,Consultant 19,350000000.0,0.0,0,0,0.0,-350000000.0
2026-02-01,2,employee,BU 1,Consultant 21,300000000.0,118741667.0,3,3,0.39580555666666667,-181258333.0
2026-02-01,2,employee,BU 1,Consultant 22,300000000.0,0.0,0,0,0.0,-300000000.0
2026-02-01,2,employee,BU 1,Consultant 26,300000000.0,277777778.0,1,1,0.9259259266666666,-22222222.0
2026-02-01,2,employee,BU 2,Consultant 06,400000000.0,0.0,0,0,0.0,-400000000.0
2026-02-01,2,employee,BU 2,Consultant 15,600000000.0,130451381.0,2,2,0.21741896833333332,-469548619.0
2026-02-01,2,employee,BU 3,Consultant 02,500000000.0,0.0,0,0,0.0,-500000000.0
2026-02-01,2,employee,BU 3,Consultant 13,100000000.0,0.0,0,0,0.0,-100000000.0
2026-02-01,2,employee,BU 3,Consultant 20,500000000.0,0.0,0,0,0.0,-500000000.0
2026-02-01,2,employee,BU 3,Consultant 24,500000000.0,1620370371.0,3,3,3.240740742,1120370371.0
2026-02-01,2,employee,BU HCM,Consultant 07,400000000.0,0.0,0,0,0.0,-400000000.0
2026-02-01,2,employee,BU HCM,Consultant 10,800000000.0,71395400.0,1,1,0.08924425,-728604600.0
2026-02-01,2,employee,BU HCM,Consultant 17,300000000.0,3666667.0,1,1,0.012222223333333334,-296333333.0
2026-02-01,2,employee,TMĐT,Consultant 09,40000000.0,0.0,0,0,0.0,-40000000.0
2026-03-01,3,department_total,BU 1,,1800000000.0,1441441579.0,12,13,0.8008008772222223,-358558421.0
2026-03-01,3,department_total,BU 2,,1500000000.0,525623098.0,7,7,0.35041539866666666,-974376902.0
2026-03-01,3,department_total,BU 3,,2400000000.0,1306165728.0,2,2,0.54423572,-1093834272.0
2026-03-01,3,department_total,BU HCM,,3200000000.0,9028459623.0,5,5,2.8213936321875,5828459623.0
2026-03-01,3,department_total,TMĐT,,50000000.0,0.0,0,0,0.0,-50000000.0
2026-03-01,3,employee,BU 1,Consultant 01,300000000.0,46474189.0,2,2,0.15491396333333332,-253525811.0
2026-03-01,3,employee,BU 1,Consultant 05,0.0,0.0,0,0,,0.0
2026-03-01,3,employee,BU 1,Consultant 08,300000000.0,12222222.0,1,1,0.04074074,-287777778.0
2026-03-01,3,employee,BU 1,Consultant 19,300000000.0,1113040983.0,2,2,3.71013661,813040983.0
