deal_id,contract_date,customer_name,customer_key,lead_source,marketing_channel,department,salesperson,need_group,apartment_group,region,contract_type,revenue_before_vat,opportunity_id,period_start,year,month,quarter
DEAL-0005,2026-01-05,Customer 043,Customer 043,Facebook,Paid Social,BU 1,Consultant 08,Cải tạo thô + nội thất,Khác,Miền Bắc,Thiết kế,11111111.0,OPP-0047,2026-01-01,2026,1,1
DEAL-0005,2026-01-05,Customer 043,Customer 043,Facebook,Paid Social,BU 1,Consultant 08,Cải tạo thô + nội thất,Khác,Miền Bắc,Thi công,206074074.0,OPP-0047,2026-01-01,2026,1,1
DEAL-0056,2026-01-05,Customer 032,Customer 032,Customer,Existing Customer,BU HCM,Consultant 07,Làm nội thất lần đầu,Chưa phân loại,Miền Nam,Gia công,123000000.0,OPP-0035,2026-01-01,2026,1,1
DEAL-0010,2026-01-08,Customer 051,Customer 051,Facebook,Paid Social,BU 3,Consultant 24,Cải tạo nội thất,Khác,Miền Bắc,Thi công,180833333.0,OPP-0055,2026-01-01,2026,1,1
DEAL-0052,2026-01-08,Customer 011,Customer 011,Facebook,Paid Social,BU 2,Consultant 06,Cải tạo thô + nội thất,Khác,Miền Bắc,Thiết kế,20833333.0,OPP-0012,2026-01-01,2026,1,1
DEAL-0053,2026-01-14,Customer 058,Customer 058,Facebook,Paid Social,BU 3,Consultant 02,Làm nội thất lần đầu,Chung cư,Miền Bắc,Thiết kế,13597222.0,OPP-0062,2026-01-01,2026,1,1
DEAL-0053,2026-01-14,Customer 058,Customer 058,Facebook,Paid Social,BU 3,Consultant 02,Làm nội thất lần đầu,Chung cư,Miền Bắc,Thi công,233418492.0,OPP-0062,2026-01-01,2026,1,1
DEAL-0068,2026-01-16,Customer 069,Customer 069,Facebook,Paid Social,BU 1,Consultant 21,Cải tạo nội thất,Chung cư,Miền Nam,Thuê nội thất,6922000.0,OPP-0073,2026-01-01,2026,1,1
DEAL-0001,2026-01-19,Customer 012,Customer 012,Facebook,Paid Social,BU 1,Consultant 21,Cải tạo nội thất,Villa / Biệt thự,Miền Bắc,Đồ rời,186953296.0,OPP-0013,2026-01-01,2026,1,1
DEAL-0061,2026-01-19,Customer 007,Customer 007,Reference,Referral,BU HCM,Consultant 10,Cải tạo thô + nội thất,Villa / Biệt thự,Miền Nam,Thi công,651700420.0,OPP-0007,2026-01-01,2026,1,1
DEAL-0013,2026-01-20,Customer 025,Customer 025,Facebook,Paid Social,BU 1,Consultant 22,Cải tạo nội thất,Chung cư,Miền Bắc,Thi công,337115981.0,OPP-0027,2026-01-01,2026,1,1
DEAL-0071,2026-01-20,Customer 006,Customer 006,Facebook,Paid Social,BU 1,Consultant 26,Cải tạo nội thất,Khác,Miền Bắc,Thi công,328703000.0,OPP-0006,2026-01-01,2026,1,1
DEAL-0004,2026-01-22,Customer 009,Customer 009,Website,Owned Digital,BU 3,Consultant 13,Làm nội thất lần đầu,Khác,Miền Bắc,Thiết kế,2750000.0,OPP-0010,2026-01-01,2026,1,1
DEAL-0004,2026-01-22,Customer 009,Customer 009,Website,Owned Digital,BU 3,Consultant 13,Làm nội thất lần đầu,Khác,Miền Bắc,Thi công,42229630.0,OPP-0010,2026-01-01,2026,1,1
DEAL-0054,2026-01-23,Customer 001,Customer 001,Zalo,Owned CRM,BU HCM,Consultant 10,Cải tạo nội thất,Khác,Miền Nam,Thi công,86677670.0,OPP-0001,2026-01-01,2026,1,1
DEAL-0062,2026-01-23,Customer 013,Customer 013,Partner,Partnership,BU HCM,Consultant 10,Làm nội thất lần đầu,Văn phòng,Miền Bắc,Thi công,21540000.0,OPP-0014,2026-01-01,2026,1,1
DEAL-0016,2026-01-26,Customer 018,Customer 018,Facebook,Paid Social,BU 1,Consultant 19,Cải tạo thô + nội thất,Khác,Miền Bắc,Thiết kế,25194444.0,OPP-0019,2026-01-01,2026,1,1
DEAL-0016,2026-01-26,Customer 018,Customer 018,Facebook,Paid Social,BU 1,Consultant 19,Cải tạo thô + nội thất,Khác,Miền Bắc,Thi công,419351163.0,OPP-0019,2026-01-01,2026,1,1
DEAL-0063,2026-01-28,Customer 008,Customer 008,Reference,Referral,BU HCM,Consultant 07,Cải tạo thô + nội thất,Chung cư,Miền Nam,Thi công,287266174.0,OPP-0009,2026-01-01,2026,1,1
DEAL-0017,2026-01-29,Customer 055,Customer 055,Facebook,Paid Social,BU 1,Consultant 05,Cải tạo thô + nội thất,Chung cư,Miền Bắc,Thiết kế,10694444.0,OPP-0059,2026-01-01,2026,1,1
DEAL-0007,2026-02-02,Customer 067,Customer 067,Reference,Referral,BU 1,Consultant 21,Cải tạo thô + nội thất,Văn phòng,Miền Bắc,Thi công,19097222.0,OPP-0071,2026-02-01,2026,2,1
DEAL-0012,2026-02-02,Customer 047,Customer 047,Facebook,Paid Social,BU 1,Consultant 21,Cải tạo nội thất,Khác,Miền Bắc,Hợp đồng khung,92592593.0,OPP-0051,2026-02-01,2026,2,1
DEAL-0014,2026-02-05,Customer 060,Customer 060,Facebook,Paid Social,BU 3,Consultant 24,Cải tạo thô + nội thất,Chung cư,Miền Bắc,Hợp đồng khung,416666667.0,OPP-0064,2026-02-01,2026,2,1
DEAL-0019,2026-02-05,Customer 022,Customer 022,Sale tự kiếm,Sales Prospecting,BU 3,Consultant 24,Cải tạo thô + nội thất,Chung cư,Miền Bắc,Hợp đồng khung,1111111111.0,OPP-0024,2026-02-01,2026,2,1
DEAL-0065,2026-02-05,Customer 062,Customer 062,Zalo,Owned CRM,BU HCM,Consultant 17,Cải tạo nội thất,Khác,Miền Nam,Thiết kế,3666667.0,OPP-0066,2026-02-01,2026,2,1
DEAL-0069,2026-02-06,Customer 041,Customer 041,Facebook,Paid Social,BU 1,Consultant 21,Cải tạo nội thất,Chưa phân loại,Miền Nam,Thuê nội thất,7051852.0,OPP-0045,2026-02-01,2026,2,1
DEAL-0018,2026-02-09,Customer 048,Customer 048,Facebook,Paid Social,BU 3,Consultant 24,Cải tạo thô + nội thất,Khác,Miền Bắc,Hợp đồng khung,92592593.0,OPP-0052,2026-02-01,2026,2,1
DEAL-0070,2026-02-09,Customer 063,Customer 063,Facebook,Paid Social,BU 1,Consultant 01,Làm nội thất lần đầu,Khác,Miền Bắc,Thiết kế,109662037.0,OPP-0067,2026-02-01,2026,2,1
DEAL-0064,2026-02-11,Customer 057,Customer 057,Giới thiệu,Referral,BU HCM,Consultant 10,Cải tạo nội thất,Khác,Miền Nam,Thi công,71395400.0,OPP-0061,2026-02-01,2026,2,1
